repo,number,state,created_at,merged_at,closed_at,additions,deletions,changed_files,description_length,comments,reviews,time_to_merge,time_to_close
freeCodeCamp/freeCodeCamp,16343,MERGED,2017-12-27T20:30:15Z,2018-01-02T18:26:14Z,2018-01-02T18:26:14Z,2,2,1,1031,0,1,141.93305555555557,141.93305555555557
freeCodeCamp/freeCodeCamp,16346,CLOSED,2017-12-27T21:44:54Z,,2017-12-28T06:20:09Z,6,6,2,1942,3,1,,8.5875
freeCodeCamp/freeCodeCamp,16347,MERGED,2017-12-27T22:26:45Z,2017-12-28T12:39:25Z,2017-12-28T12:39:25Z,68,87,1,1786,3,8,14.21111111111111,14.21111111111111
freeCodeCamp/freeCodeCamp,16349,MERGED,2017-12-28T00:52:54Z,2017-12-29T18:57:39Z,2017-12-29T18:57:39Z,2,1,1,1943,8,3,42.079166666666666,42.079166666666666
freeCodeCamp/freeCodeCamp,16364,MERGED,2017-12-29T01:25:58Z,2017-12-29T14:56:53Z,2017-12-29T14:56:53Z,1,1,1,2060,1,1,13.515277777777778,13.515277777777778
freeCodeCamp/freeCodeCamp,16365,MERGED,2017-12-29T05:23:54Z,2018-01-16T06:20:32Z,2018-01-16T06:20:32Z,25,25,1,3279,4,2,432.94388888888886,432.94388888888886
freeCodeCamp/freeCodeCamp,16366,MERGED,2017-12-29T07:48:11Z,2017-12-29T11:37:42Z,2017-12-29T11:37:42Z,34,5,1,2099,3,1,3.825277777777778,3.825277777777778
freeCodeCamp/freeCodeCamp,16370,MERGED,2017-12-29T17:37:28Z,2018-02-26T20:10:12Z,2018-02-26T20:10:12Z,55,17,6,1927,18,4,1418.5455555555557,1418.5455555555557
freeCodeCamp/freeCodeCamp,16371,MERGED,2017-12-29T20:33:17Z,2018-01-01T00:09:20Z,2018-01-01T00:09:20Z,7,2,1,2002,3,1,51.600833333333334,51.600833333333334
freeCodeCamp/freeCodeCamp,16374,MERGED,2017-12-30T10:55:46Z,2018-01-09T04:24:31Z,2018-01-09T04:24:31Z,251,3,5,364,6,5,233.47916666666666,233.47916666666666
freeCodeCamp/freeCodeCamp,16391,MERGED,2018-01-01T20:34:38Z,2018-01-02T22:30:40Z,2018-01-02T22:30:41Z,4,0,1,1119,8,2,25.933888888888887,25.933888888888887
freeCodeCamp/freeCodeCamp,16394,CLOSED,2018-01-01T23:12:38Z,,2018-01-06T05:29:48Z,4,2,1,2363,9,5,,102.28611111111111
freeCodeCamp/freeCodeCamp,16398,CLOSED,2018-01-02T08:17:49Z,,2018-01-12T15:33:30Z,6,1,1,1366,6,2,,247.2613888888889
freeCodeCamp/freeCodeCamp,16404,MERGED,2018-01-03T01:56:21Z,2018-01-04T06:39:20Z,2018-01-04T06:39:20Z,32,5,4,1978,3,4,28.71638888888889,28.71638888888889
freeCodeCamp/freeCodeCamp,16408,MERGED,2018-01-04T17:19:11Z,2018-01-19T05:23:31Z,2018-01-19T05:23:31Z,2132,1105,74,1288,35,7,348.0722222222222,348.0722222222222
freeCodeCamp/freeCodeCamp,16409,MERGED,2018-01-04T17:52:35Z,2018-01-06T05:39:33Z,2018-01-06T05:39:34Z,29,25,1,13,4,2,35.78277777777778,35.78277777777778
freeCodeCamp/freeCodeCamp,16412,CLOSED,2018-01-05T17:00:00Z,,2018-02-15T20:35:39Z,6056,2663,129,1264,20,10,,987.5941666666666
freeCodeCamp/freeCodeCamp,16421,MERGED,2018-01-06T10:41:21Z,2018-01-15T06:06:42Z,2018-01-15T06:06:42Z,6,4,1,2324,1,1,211.4225,211.4225
